title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
by the way,Red Hot Chili Peppers,spotify:track:1f2V8U1BiWaC9aJWmpOARe,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,audio_features,1f2V8U1BiWaC9aJWmpOARe,https://api.spotify.com/v1/tracks/1f2V8U1BiWaC9aJWmpOARe,https://api.spotify.com/v1/audio-analysis/1f2V8U1BiWaC9aJWmpOARe,216933,4
born to be wild - single version,Steppenwolf,spotify:track:3lN8PP6R2IxbLP05QpYXng,0.439,0.734,2,-12.168,1,0.097,0.262,0.333,0.244,0.54,145.703,audio_features,3lN8PP6R2IxbLP05QpYXng,https://api.spotify.com/v1/tracks/3lN8PP6R2IxbLP05QpYXng,https://api.spotify.com/v1/audio-analysis/3lN8PP6R2IxbLP05QpYXng,212893,4
road to nowhere,Talking Heads,spotify:track:5gS8whHdcpbkdz0qonQZF8,0.661,0.713,2,-7.825,1,0.0296,0.0361,2.27e-05,0.153,0.632,110.364,audio_features,5gS8whHdcpbkdz0qonQZF8,https://api.spotify.com/v1/tracks/5gS8whHdcpbkdz0qonQZF8,https://api.spotify.com/v1/audio-analysis/5gS8whHdcpbkdz0qonQZF8,259107,4
(you're the) devil in disguise,Elvis Presley,spotify:track:0D1pEisM3QkiacGXJe5dmd,0.481,0.733,5,-7.633,1,0.165,0.575,1.18e-05,0.108,0.874,122.909,audio_features,0D1pEisM3QkiacGXJe5dmd,https://api.spotify.com/v1/tracks/0D1pEisM3QkiacGXJe5dmd,https://api.spotify.com/v1/audio-analysis/0D1pEisM3QkiacGXJe5dmd,140427,4
no mercy,Racoon,spotify:track:5lKG3noDbcocnJl8r8tOOa,0.769,0.569,10,-5.97,0,0.0258,0.09,0.0,0.105,0.612,104.02,audio_features,5lKG3noDbcocnJl8r8tOOa,https://api.spotify.com/v1/tracks/5lKG3noDbcocnJl8r8tOOa,https://api.spotify.com/v1/audio-analysis/5lKG3noDbcocnJl8r8tOOa,165135,4
daughter - remastered,Pearl Jam,spotify:track:53eJFr4Mfbw5PXJ01K6cFw,0.615,0.702,7,-9.686,1,0.0278,0.00746,0.00431,0.0608,0.734,96.987,audio_features,53eJFr4Mfbw5PXJ01K6cFw,https://api.spotify.com/v1/tracks/53eJFr4Mfbw5PXJ01K6cFw,https://api.spotify.com/v1/audio-analysis/53eJFr4Mfbw5PXJ01K6cFw,234333,4
beautiful people,Melanie,spotify:track:4rMCvdNWp9IvvDJYyUfxyl,0.539,0.444,0,-9.392,1,0.0529,0.608,0.0,0.397,0.373,129.034,audio_features,4rMCvdNWp9IvvDJYyUfxyl,https://api.spotify.com/v1/tracks/4rMCvdNWp9IvvDJYyUfxyl,https://api.spotify.com/v1/audio-analysis/4rMCvdNWp9IvvDJYyUfxyl,215133,4
dog days are over,Florence + The Machine,spotify:track:1YLJVmuzeM2YSUkCCaTNUB,0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,audio_features,1YLJVmuzeM2YSUkCCaTNUB,https://api.spotify.com/v1/tracks/1YLJVmuzeM2YSUkCCaTNUB,https://api.spotify.com/v1/audio-analysis/1YLJVmuzeM2YSUkCCaTNUB,251840,4
it's all coming back to me now,Céline Dion,spotify:track:5EQzuYfTZt7B2LqlvTF49l,0.384,0.438,0,-9.149,1,0.0362,0.753,0.0,0.101,0.287,87.903,audio_features,5EQzuYfTZt7B2LqlvTF49l,https://api.spotify.com/v1/tracks/5EQzuYfTZt7B2LqlvTF49l,https://api.spotify.com/v1/audio-analysis/5EQzuYfTZt7B2LqlvTF49l,456867,4
the eve of the war,Jeff Wayne,spotify:track:7kLA5z1JUqpb46M7AF2YiO,0.396,0.593,2,-8.85,0,0.0442,0.0725,0.0436,0.108,0.379,127.095,audio_features,7kLA5z1JUqpb46M7AF2YiO,https://api.spotify.com/v1/tracks/7kLA5z1JUqpb46M7AF2YiO,https://api.spotify.com/v1/audio-analysis/7kLA5z1JUqpb46M7AF2YiO,263360,4
